customer_key,customer_id,first_name,last_name,email,phone_number,registration_date,customer_segment,preferred_channel,age_group,income_level,source_avg_order_value,promo_sensitivity,email_opt_in,sms_opt_in,push_opt_in,last_purchase_date,source_lifetime_orders,preferred_category
53,53,Leslie,Martin,leslie.martin@outlook.com,-2266,,New_Customer,Social,46-55,Medium,91.45,0.78,False,True,False,,16.0,Sports
54,54,Robert,Buck,robertbuck@gmail.com,-3513,,Low_Value,Push,46-55,High,37.17,0.65,True,False,False,,0.0,Sports
55,55,Olivia,Watson,oliviawatson@outlook.com,-8602,,New_Customer,SMS,36-45,High,53.74,0.69,True,True,False,,33.0,Electronics
56,56,Shane,Black,shane.black@hotmail.com,-8113,,Medium_Value,Direct,46-55,Unknown,194.82,0.63,True,False,True,,3.0,Sports
57,57,Amber,Carney,amber.carney@outlook.com,-8407,,Medium_Value,Email,46-55,High,75.58,0.68,False,False,False,,41.0,Electronics
58,58,Cody,Harris,cody.harris@gmail.com,-6812,,New_Customer,Social,55+,High,44.49,0.76,False,False,False,,22.0,Electronics
59,59,Amber,Wilcox,amber380@gmail.com,-5729,,New_Customer,Direct,26-35,Low,148.29,0.5,False,True,True,,27.0,Clothing
60,60,Mary,Owens,mary463@outlook.com,-5311,,Medium_Value,Email,46-55,High,116.53,0.47,False,True,True,,42.0,Books
61,61,Christopher,Stanley,christopher684@hotmail.com,-4922,,Medium_Value,Email,36-45,Premium,89.36,0.62,False,False,True,,0.0,Beauty
62,62,Daniel,Kent,daniel412@outlook.com,-6213,,High_Value,Direct,46-55,Medium,459.01,0.33,False,True,False,,38.0,Clothing
63,63,Christine,Bryant,christine635@hotmail.com,-2331,,Medium_Value,Push,26-35,Unknown,115.29,0.69,True,True,False,,11.0,Beauty
64,64,Lawrence,Hernandez,lawrencehernandez@outlook.com,-6540,,High_Value,Email,36-45,Premium,261.92,0.2,True,False,False,,8.0,Electronics
65,65,Jessica,Stephenson,jessicastephenson@hotmail.com,-4096,,Medium_Value,Push,18-25,High,190.48,0.53,True,True,True,,13.0,Clothing
66,66,James,Rodriguez,james598@outlook.com,-6807,,High_Value,Direct,46-55,Unknown,466.47,0.32,False,False,False,,12.0,Sports
67,67,Olivia,Davis,oliviadavis@gmail.com,-9414,,New_Customer,Direct,Unknown,Premium,78.97,0.58,True,False,False,,22.0,Beauty
68,68,Karen,Cordova,karen.cordova@hotmail.com,-10817,,High_Value,Push,46-55,High,189.42,0.31,True,False,False,,27.0,Electronics
69,69,Joseph,Chapman,joseph620@hotmail.com,-4426,,High_Value,Direct,36-45,High,370.97,0.31,True,False,True,,41.0,Electronics
70,70,Bradley,Wright,bradley.wright@outlook.com,-8049,,High_Value,Email,Unknown,Low,453.27,0.2,True,False,True,,7.0,Sports
71,71,Timothy,Kelly,timothy334@outlook.com,-5461,,Low_Value,SMS,55+,Unknown,40.08,0.64,True,False,True,,33.0,Home
72,72,Daniel,Strickland,daniel104@gmail.com,-5174,,High_Value,Push,55+,Medium,421.85,0.36,True,False,True,,10.0,Books
73,73,Jamie,Ellis,jamieellis@hotmail.com,-10460,,High_Value,Email,46-55,Premium,246.17,0.37,False,True,True,,3.0,Books
74,74,Brandy,Davidson,brandy379@hotmail.com,-7081,,Medium_Value,Email,36-45,Premium,92.28,0.55,True,False,False,,20.0,Sports
75,75,Ronald,Mccullough,ronaldmccullough@hotmail.com,-2553,,New_Customer,SMS,26-35,Low,71.17,0.59,True,True,False,,25.0,Home
76,76,Kristina,Walker,kristinawalker@outlook.com,-8568,,Low_Value,Social,36-45,High,28.11,0.67,True,True,True,,26.0,Books
77,77,Karina,Hayes,karina.hayes@outlook.com,-11222,,High_Value,Email,18-25,Unknown,357.56,0.3,True,False,True,,5.0,Clothing
78,78,Brian,Aguilar,brian.aguilar@outlook.com,-8749,,High_Value,SMS,36-45,Premium,388.84,0.28,False,False,True,,24.0,Electronics
79,79,Theresa,Curtis,theresacurtis@hotmail.com,-2202,,Low_Value,Direct,46-55,Medium,45.53,0.87,False,True,True,,36.0,Sports
80,80,Allen,Williams,allen.williams@hotmail.com,-3448,,High_Value,Direct,55+,High,446.58,0.23,True,True,False,,21.0,Beauty
81,81,Matthew,Murray,matthew.murray@hotmail.com,-6993,,Medium_Value,Push,46-55,Medium,131.72,0.68,True,True,False,,3.0,Sports
82,82,John,Ayala,john502@hotmail.com,-7478,,High_Value,Social,36-45,Premium,240.62,0.3,False,True,True,,32.0,Electronics
83,83,Edward,Boyd,edward734@hotmail.com,-2348,,New_Customer,Direct,18-25,Medium,30.82,0.57,True,True,True,,26.0,Books
84,84,Ryan,Ross,ryan770@gmail.com,-9798,,High_Value,Push,18-25,Premium,300.78,0.21,False,True,True,,46.0,Electronics
85,85,Lauren,Terry,laurenterry@gmail.com,-7585,,New_Customer,SMS,55+,High,75.04,0.61,False,False,False,,15.0,Books
86,86,Scott,Thomas,scott.thomas@yahoo.com,-4240,,Low_Value,Push,18-25,Low,66.62,0.87,False,False,True,,24.0,Electronics
87,87,Madison,Cox,madisoncox@gmail.com,-5373,,High_Value,Direct,46-55,Medium,283.36,0.28,True,False,False,,20.0,Home
88,88,Jerome,Ellis,jeromeellis@hotmail.com,-8879,,High_Value,Email,26-35,Low,338.19,0.3,False,True,True,,14.0,Beauty
89,89,Miguel,Bell,miguelbell@yahoo.com,-6343,,Low_Value,Direct,26-35,Low,57.68,0.62,True,False,True,,32.0,Clothing
90,90,Daniel,Sanchez,daniel.sanchez@yahoo.com,-5274,,Medium_Value,Push,36-45,Premium,187.42,0.45,False,False,True,,41.0,Beauty
91,91,Amy,Fitzgerald,amy.fitzgerald@outlook.com,-6868,,New_Customer,Email,55+,Medium,52.04,0.72,False,False,True,,4.0,Home
92,92,Richard,Howard,richard.howard@gmail.com,-4539,,New_Customer,SMS,36-45,Medium,87.83,0.72,True,True,True,,25.0,Clothing
93,93,Michael,Torres,michaeltorres@yahoo.com,-3677,,New_Customer,SMS,18-25,Premium,133.47,0.72,True,False,True,,41.0,Books
94,94,Dorothy,Graham,dorothy.graham@hotmail.com,-8416,,New_Customer,Social,46-55,Low,147.83,0.57,True,True,True,,43.0,Beauty
95,95,Kimberly,Elliott,kimberlyelliott@gmail.com,-10099,,Low_Value,Push,26-35,Medium,78.7,0.85,True,True,True,,25.0,Home
96,96,Kelly,Li,kellyli@gmail.com,-6186,,Medium_Value,Social,46-55,Premium,186.63,0.46,True,True,False,,5.0,Sports
97,97,Pamela,Smith,pamelasmith@gmail.com,-6824,,Medium_Value,Direct,18-25,Low,190.6,0.61,False,True,False,,30.0,Books
98,98,Lori,Davis,loridavis@hotmail.com,-3790,,New_Customer,SMS,55+,High,104.89,0.71,True,False,False,,39.0,Clothing
99,99,Samuel,Meyer,samuel.meyer@outlook.com,-3045,,New_Customer,Social,18-25,Medium,141.91,0.52,False,False,True,,30.0,Beauty
100,100,Elaine,Bridges,elaine.bridges@hotmail.com,-9815,,Low_Value,Direct,26-35,Low,63.99,0.64,False,False,False,,1.0,Sports
101,101,Jonathan,Nelson,jonathannelson@outlook.com,-4238,,Medium_Value,SMS,26-35,Medium,135.72,0.69,False,False,False,,18.0,Sports
102,102,Alicia,Gallagher,aliciagallagher@gmail.com,-7293,,New_Customer,Social,36-45,Premium,68.67,0.71,False,True,False,,17.0,Home
103,103,Jacob,Rivera,jacobrivera@yahoo.com,-7676,,Medium_Value,Direct,18-25,High,175.17,0.64,True,True,False,,19.0,Clothing
104,104,Anna,Duffy,annaduffyhotmail.com,-4885,,Medium_Value,Push,18-25,High,131.18,0.68,True,True,True,,40.0,Home
105,105,Penny,Johnson,penny.johnson@outlook.com,-10034,,New_Customer,Direct,18-25,Medium,99.43,0.71,False,False,False,,4.0,Electronics
106,106,Anthony,Rose,anthonyroseyahoo.com,-10605,,Medium_Value,Social,18-25,Premium,153.35,0.51,False,False,True,,41.0,Books
107,107,Kimberly,Wolf,kimberlywolf@gmail.com,-9846,,High_Value,Email,36-45,Low,167.7,0.29,True,False,False,,41.0,Clothing
108,108,Cynthia,Baker,cynthiabaker@hotmail.com,-3394,,New_Customer,Direct,55+,Unknown,47.5,0.76,True,True,False,,45.0,Sports
109,109,George,Sanchez,georgesanchez@yahoo.com,-3754,,New_Customer,Direct,26-35,Medium,107.27,0.76,True,False,False,,49.0,Home
110,110,Mitchell,Brown,mitchell.brown@yahoo.com,-8632,,New_Customer,SMS,55+,High,85.96,0.69,True,True,True,,6.0,Sports
111,111,Tracy,Howell,tracy.howell@outlook.com,-9681,,Medium_Value,Email,55+,Medium,129.1,0.45,False,True,True,,12.0,Books
112,112,Erica,Everett,erica381@outlook.com,-11195,,High_Value,Email,18-25,Premium,165.99,0.36,True,False,True,,6.0,Electronics
113,113,Kathy,Richard,kathyrichard@gmail.com,-10471,,Low_Value,Push,Unknown,High,94.78,0.75,False,True,True,,36.0,Clothing
114,114,Joshua,Hall,joshua.hall@yahoo.com,-6821,,Low_Value,Push,46-55,Premium,51.85,0.76,False,True,False,,6.0,Books
115,115,Michael,Baker,michael276@gmail.com,-7116,,Low_Value,Direct,18-25,High,34.45,0.73,True,False,False,,15.0,Sports
116,116,Cynthia,Porter,cynthia254@hotmail.com,-10911,,Medium_Value,Push,55+,Premium,114.2,0.42,False,True,True,,26.0,Books
117,117,Carrie,Taylor,carrie508@yahoo.com,-7562,,Medium_Value,Push,36-45,Unknown,114.4,0.64,True,True,False,,49.0,Electronics
118,118,Michael,Anderson,michael.anderson@outlook.com,-10706,,New_Customer,SMS,36-45,Premium,128.59,0.5,True,True,False,,37.0,Home
119,119,Brian,Johnson,brian682@hotmail.com,-6149,,Low_Value,Social,26-35,Low,53.14,0.63,True,True,True,,4.0,Home
120,120,Brian,Bell,brian412@gmail.com,-7750,,Medium_Value,SMS,36-45,Premium,171.16,0.66,False,True,False,,9.0,Home
121,121,Joseph,Tate,joseph.tate@yahoo.com,-4860,,New_Customer,Direct,36-45,High,133.69,0.56,False,False,True,,21.0,Home
122,122,Jon,Tucker,jon197@yahoo.com,-5156,,New_Customer,Email,55+,Medium,117.23,0.73,True,True,True,,35.0,Home
123,123,James,Webster,james.webster@outlook.com,-9259,,High_Value,Direct,36-45,Medium,174.51,0.27,False,True,True,,39.0,Clothing
124,124,Johnny,Taylor,johnnytaylor@yahoo.com,-5606,,Low_Value,SMS,46-55,High,74.96,0.69,True,False,True,,27.0,Electronics
125,125,Brianna,Obrien,brianna858@hotmail.com,-7753,,New_Customer,Direct,46-55,Unknown,99.99,0.74,True,False,False,,8.0,Books
126,126,Timothy,Haley,timothy.haley@gmail.com,-6390,,New_Customer,SMS,36-45,Medium,149.19,0.68,True,True,True,,4.0,Beauty
127,127,Amber,Garcia,ambergarcia@hotmail.com,-5172,,High_Value,Social,26-35,High,365.3,0.31,False,False,False,,13.0,Home
128,128,Jake,White,jake388@yahoo.com,-5262,,New_Customer,SMS,18-25,Medium,31.53,0.78,False,True,False,,4.0,Home
129,129,Scott,Mayo,scott561@outlook.com,-5087,,Low_Value,Email,36-45,Unknown,35.51,0.65,True,True,True,,14.0,Clothing
130,130,Aaron,Turner,aaron569@yahoo.com,-8280,,High_Value,Social,18-25,Unknown,206.22,0.22,True,True,True,,37.0,Home
131,131,Ronald,Briggs,ronald.briggs@outlook.com,-6695,,Low_Value,SMS,18-25,Premium,80.15,0.89,False,False,False,,23.0,Sports
132,132,Monica,Aguilar,monica322@gmail.com,-9580,,New_Customer,Social,26-35,Low,70.34,0.61,True,False,False,,0.0,Books
133,133,Diana,Sanders,dianasanders@hotmail.com,-8962,,Low_Value,Direct,46-55,Premium,51.02,0.89,False,True,False,,40.0,Books
134,134,Heather,Hart,heatherhart@hotmail.com,-9061,,New_Customer,Direct,18-25,High,129.89,0.54,True,False,False,,19.0,Books
135,135,Elizabeth,Bartlett,elizabeth577@yahoo.com,-8802,,High_Value,Push,55+,High,484.49,0.22,False,False,False,,43.0,Electronics
136,136,Steven,Price,stevenprice@outlook.com,-9195,,Low_Value,Social,Unknown,High,56.89,0.89,True,True,False,,24.0,Clothing
137,137,Madison,Cox,madison.cox@outlook.com,-11732,,Low_Value,Social,26-35,High,83.05,0.88,True,True,True,,42.0,Clothing
138,138,Robin,Reese,robinreese@gmail.com,-1942,,New_Customer,SMS,46-55,Premium,60.76,0.55,True,False,False,,31.0,Books
139,139,Regina,Davis,regina.davis@hotmail.com,-2990,,New_Customer,Email,18-25,High,38.4,0.66,False,True,False,,32.0,Home
140,140,Diane,Hopkins,diane.hopkins@gmail.com,-10928,,High_Value,Push,26-35,Low,258.34,0.23,True,True,True,,20.0,Beauty
141,141,Pamela,Singh,pamela452@hotmail.com,-7229,,New_Customer,SMS,46-55,Medium,124.73,0.53,False,False,False,,1.0,Books
142,142,Matthew,Harper,matthew.harper@hotmail.com,-2712,,New_Customer,SMS,46-55,Premium,115.15,0.75,True,True,False,,38.0,Electronics
143,143,Kristen,Horton,kristen168@outlook.com,-4600,,New_Customer,SMS,46-55,Premium,144.15,0.52,True,False,False,,22.0,Sports
144,144,Sheena,Hicks,sheenahicks@gmail.com,-10232,,Medium_Value,Push,46-55,Medium,160.3,0.67,True,True,False,,17.0,Sports
145,145,Zachary,Clark,zachary.clark@gmail.com,-2606,,New_Customer,Direct,55+,Medium,131.56,0.59,True,True,False,,25.0,Clothing
146,146,Susan,Lam,susanlam@outlook.com,-6942,,High_Value,Email,26-35,Premium,344.2,0.33,False,True,True,,20.0,Electronics
147,147,Deborah,Wallace,deborahwallace@yahoo.com,-3390,,High_Value,Push,26-35,High,155.71,0.36,True,True,False,,20.0,Clothing
148,148,Lisa,Morgan,lisamorgan@hotmail.com,-7985,,Medium_Value,Social,36-45,High,109.46,0.5,False,True,True,,6.0,Clothing
149,149,Darlene,Norris,darlenenorris@hotmail.com,-9997,,Medium_Value,Direct,26-35,Medium,142.12,0.49,True,False,True,,5.0,Sports
150,150,Brianna,Warren,brianna346@gmail.com,-11070,,New_Customer,Direct,18-25,Premium,33.82,0.64,True,False,True,,0.0,Clothing
151,151,Cynthia,Padilla,cynthia.padilla@hotmail.com,-7365,,Low_Value,SMS,26-35,Premium,65.56,0.75,True,False,False,,0.0,Beauty
152,152,Brandon,Crawford,brandon72@outlook.com,-4824,,High_Value,SMS,26-35,Medium,229.93,0.36,True,True,True,,0.0,Sports
153,153,Sharon,Beasley,sharonbeasley@outlook.com,-6771,,New_Customer,Social,36-45,Medium,88.79,0.66,False,True,True,,7.0,Electronics
154,154,Kelly,Bass,kellybass@hotmail.com,-10315,,New_Customer,Social,46-55,Low,40.94,0.62,False,False,True,,48.0,Electronics
155,155,Morgan,Mason,morgan.mason@yahoo.com,-8098,,Medium_Value,Direct,18-25,Unknown,124.79,0.53,True,False,False,,25.0,Electronics
156,156,Laura,Collins,laura.collins@hotmail.com,-9779,,Medium_Value,Email,55+,Medium,188.53,0.5,True,True,False,,45.0,Sports
157,157,Tim,Peck,timpeck@outlook.com,-4819,,New_Customer,SMS,46-55,High,41.88,0.54,False,False,False,,31.0,Home
158,158,Zachary,Calhoun,zacharycalhoun@gmail.com,-5787,,New_Customer,SMS,36-45,Medium,89.13,0.63,False,True,False,,11.0,Electronics
159,159,Valerie,Johnson,valerie336@outlook.com,-5257,,High_Value,Email,55+,High,264.66,0.32,True,True,True,,23.0,Books
160,160,Kathleen,Walker,kathleen611@outlook.com,-4048,,Low_Value,Social,36-45,Premium,98.63,0.68,True,False,True,,24.0,Home
161,161,Melissa,Haynes,melissa.haynes@gmail.com,-8870,,Medium_Value,Direct,46-55,Medium,152.06,0.64,True,False,False,,19.0,Sports
162,162,Ronald,Ochoa,ronaldochoa@hotmail.com,-5421,,High_Value,Email,26-35,Low,332.81,0.22,True,True,True,,39.0,Sports
163,163,Cathy,Foster,cathy768@outlook.com,-6321,,High_Value,Push,18-25,Medium,452.68,0.35,True,False,True,,47.0,Sports
164,164,Derek,Jones,derek.jones@hotmail.com,-8963,,Low_Value,SMS,36-45,Low,30.05,0.62,False,False,False,,17.0,Sports
165,165,Leslie,Anderson,leslie.anderson@yahoo.com,-3169,,Medium_Value,SMS,18-25,Premium,88.12,0.54,False,False,True,,33.0,Sports
166,166,Justin,Farley,justin50@outlook.com,-2942,,New_Customer,Push,55+,Medium,43.18,0.5,True,False,True,,42.0,Electronics
167,167,Julie,Garcia,juliegarcia@hotmail.com,-9401,,New_Customer,Email,46-55,Low,107.46,0.67,True,False,False,,17.0,Clothing
168,168,Elizabeth,Sandoval,elizabeth176@hotmail.com,-5380,,Medium_Value,Direct,18-25,Premium,186.6,0.69,True,False,False,,35.0,Books
169,169,Michelle,Blair,michelleblair@outlook.com,-6857,,New_Customer,Push,26-35,Low,132.16,0.79,False,True,False,,30.0,Beauty
170,170,Samantha,Morrison,samanthamorrison@yahoo.com,-7552,,Medium_Value,SMS,36-45,High,196.33,0.41,True,True,False,,50.0,Clothing
171,171,Madeline,Williams,madeline.williams@outlook.com,-5629,,High_Value,Email,36-45,Premium,155.64,0.4,False,False,False,,23.0,Beauty
172,172,James,Warner,james.warner@gmail.com,-3890,,New_Customer,Push,36-45,Medium,83.18,0.5,True,False,True,,33.0,Sports
173,173,Jack,Schmidt,jack589@hotmail.com,-4410,,New_Customer,SMS,36-45,Unknown,134.55,0.55,False,True,True,,38.0,Home
174,174,Richard,Bates,richard.bates@outlook.com,-2199,,High_Value,Email,55+,Medium,427.34,0.21,True,True,False,,25.0,Sports
175,175,Erika,Lowery,erika.lowery@hotmail.com,-5815,,Low_Value,SMS,26-35,Unknown,46.57,0.69,False,True,True,,7.0,Clothing
176,176,Mark,Johnson,mark.johnson@yahoo.com,-10155,,Low_Value,SMS,36-45,Low,76.63,0.78,False,True,True,,43.0,Sports
177,177,Leah,Wilson,leah833@yahoo.com,-4703,,Low_Value,Social,36-45,High,75.83,0.76,True,False,False,,28.0,Electronics
178,178,Jose,Glover,jose.glover@outlook.com,-3384,,New_Customer,Push,46-55,Premium,41.73,0.54,True,True,True,,46.0,Electronics
179,179,Larry,Campbell,larry.campbell@gmail.com,-8209,,Low_Value,SMS,55+,Medium,74.25,0.84,True,False,True,,32.0,Books
180,180,Mike,Conley,mikeconley@hotmail.com,-9320,,New_Customer,Push,36-45,Premium,103.05,0.75,True,True,False,,25.0,Clothing
181,181,James,Price,james919@outlook.com,-3881,,High_Value,Social,Unknown,Medium,297.65,0.35,False,True,True,,15.0,Beauty
182,182,Bryan,Flores,bryan663@gmail.com,-5614,,Low_Value,Push,26-35,High,36.93,0.62,True,True,True,,40.0,Books
183,183,Mark,Reese,mark.reese@outlook.com,-5715,,Medium_Value,Direct,46-55,Low,118.93,0.54,True,True,True,,27.0,Sports
184,184,Joseph,Bradshaw,josephbradshaw@gmail.com,-10649,,High_Value,Direct,55+,Medium,301.87,0.36,True,False,False,,33.0,Clothing
185,185,Sherri,Cruz,sherri.cruz@hotmail.com,-4657,,High_Value,SMS,18-25,Medium,260.01,0.23,False,True,True,,14.0,Books
186,186,Aaron,Robinson,aaron622@hotmail.com,-4084,,High_Value,SMS,46-55,Medium,390.73,0.33,False,True,True,,2.0,Beauty
187,187,Jessica,Fields,jessicafields@outlook.com,-10267,,Low_Value,Direct,Unknown,Unknown,64.64,0.86,True,False,True,,35.0,Books
188,188,Margaret,Cunningham,margaretcunningham@gmail.com,-5588,,High_Value,SMS,46-55,Low,274.0,0.25,True,True,True,,45.0,Home
189,189,Kristy,Nelson,kristy.nelson@hotmail.com,-3558,,Medium_Value,Email,55+,Unknown,111.59,0.62,False,True,False,,44.0,Beauty
190,190,Shannon,Hamilton,shannon489@hotmail.com,-4747,,Medium_Value,Push,26-35,High,120.89,0.54,True,False,True,,9.0,Sports
191,191,Dawn,Hernandez,dawn407@hotmail.com,-7159,,Low_Value,Social,18-25,Low,95.4,0.87,True,False,False,,6.0,Home
192,192,Louis,Lee,louis.lee@yahoo.com,-4953,,Medium_Value,Social,36-45,Medium,126.11,0.43,False,True,False,,42.0,Clothing
193,193,Christina,Espinoza,christinaespinoza@hotmail.com,-2645,,Low_Value,Email,26-35,High,91.55,0.66,True,True,False,,44.0,Home
194,194,Dustin,Ochoa,dustinochoa@hotmail.com,-10490,,Low_Value,Social,18-25,Medium,30.8,0.83,True,False,False,,40.0,Electronics
