customer_id,first_name,last_name,email,phone_number,registration_date,customer_segment,preferred_channel,age_group,income_level,source_avg_order_value,promo_sensitivity,email_opt_in,sms_opt_in,push_opt_in,last_purchase_date,total_lifetime_orders,preferred_category,total_orders,paid_orders,cancelled_orders,total_revenue,avg_order_value_actual,first_order_date,last_order_date,promo_orders,non_promo_orders,promo_revenue,non_promo_revenue,preferred_product_category,customer_recency_days,lifecycle_segment,invalid_phone_flag,missing_last_purchase_flag,invalid_registration_date_flag
45,Douglas,Collins,douglas.collins@hotmail.com,-8855,,Medium_Value,Push,18-25,High,175.11,0.49,False,False,False,,42,Books,10,10,0,1665.55,166.555,2024-07-29,2025-06-11,1,9,194.32,1471.23,Sports,372.0,Dormant,True,False,True
46,Debra,Fields,debrafields@yahoo.com,-7653,,Low_Value,Social,26-35,High,41.13,0.86,False,False,True,,37,Books,7,5,2,257.95,51.59,2024-09-22,2025-05-20,2,3,135.94,122.01,Books,394.0,Dormant,True,True,True
47,Jason,Butler,jason404@yahoo.com,-10940,,New_Customer,Push,18-25,Medium,104.0,0.78,False,False,True,,29,Beauty,9,8,0,1113.44,139.18,2024-07-27,2025-04-18,5,3,760.59,352.85,Clothing,426.0,Dormant,True,False,True
48,Roger,Mendoza,roger88@hotmail.com,-8573,,Low_Value,Email,18-25,Premium,38.26,0.63,True,True,False,,28,Beauty,10,10,0,446.59,44.659,2024-08-05,2025-07-02,3,7,165.4,281.19,Electronics,351.0,Dormant,True,False,True
49,Michelle,Castillo,michelle986@yahoo.com,-6093,,New_Customer,Social,26-35,Medium,40.7,0.57,True,False,True,,30,Sports,8,5,3,251.63,50.326,2024-11-19,2025-03-16,2,3,127.58,124.05,Beauty,459.0,Dormant,True,False,True
50,Tracy,Davis,tracy242@hotmail.com,-8476,,Medium_Value,SMS,46-55,Medium,190.45,0.49,True,False,False,,7,Electronics,2,2,0,362.46,181.23,2024-09-13,2024-12-18,0,2,0.0,362.46,Electronics,547.0,Dormant,True,False,True
51,Elizabeth,Watson,elizabethwatson@gmail.com,-5454,,Medium_Value,Direct,55+,Medium,146.4,0.68,False,True,True,,32,Clothing,10,6,4,885.17,147.52833333333334,2024-07-16,2025-06-21,2,4,356.57,528.6,Sports,362.0,Dormant,True,True,True
52,Hannah,Wilson,hannah.wilson@gmail.com,-3634,,Low_Value,SMS,26-35,Medium,65.55,0.85,True,False,True,,15,Sports,6,4,2,290.81,72.7025,2024-08-03,2025-06-26,2,2,160.28,130.53,Clothing,357.0,Dormant,True,False,True
53,Leslie,Martin,leslie.martin@outlook.com,-2266,,New_Customer,Social,46-55,Medium,91.45,0.78,False,True,False,,16,Sports,9,9,0,935.82,103.98,2024-08-21,2025-06-30,3,6,431.29,504.53,Electronics,353.0,Dormant,True,False,True
54,Robert,Buck,robertbuck@gmail.com,-3513,,Low_Value,Push,46-55,High,37.17,0.65,True,False,False,,0,Sports,4,4,0,160.12,40.03,2024-08-09,2025-06-15,0,4,0.0,160.12,Beauty,368.0,Dormant,True,False,True
55,Olivia,Watson,oliviawatson@outlook.com,-8602,,New_Customer,SMS,36-45,High,53.74,0.69,True,True,False,,33,Electronics,8,7,1,366.16,52.308571428571426,2024-08-04,2025-05-03,0,7,0.0,366.16,Beauty,411.0,Dormant,True,True,True
56,Shane,Black,shane.black@hotmail.com,-8113,,Medium_Value,Direct,46-55,Unknown,194.82,0.63,True,False,True,,3,Sports,6,6,0,1158.95,193.15833333333333,2024-10-07,2025-02-25,0,6,0.0,1158.95,Sports,478.0,Dormant,True,False,True
57,Amber,Carney,amber.carney@outlook.com,-8407,,Medium_Value,Email,46-55,High,75.58,0.68,False,False,False,,41,Electronics,10,9,1,693.04,77.00444444444445,2024-07-06,2025-05-02,1,8,134.36,558.68,Beauty,412.0,Dormant,True,True,True
58,Cody,Harris,cody.harris@gmail.com,-6812,,New_Customer,Social,55+,High,44.49,0.76,False,False,False,,22,Electronics,7,7,0,334.97,47.85285714285714,2024-07-22,2025-06-05,1,6,74.25,260.72,Electronics,378.0,Dormant,True,False,True
59,Amber,Wilcox,amber380@gmail.com,-5729,,New_Customer,Direct,26-35,Low,148.29,0.5,False,True,True,,27,Clothing,11,10,1,1699.86,169.986,2024-09-10,2025-07-04,0,10,0.0,1699.86,Electronics,349.0,Dormant,True,True,True
60,Mary,Owens,mary463@outlook.com,-5311,,Medium_Value,Email,46-55,High,116.53,0.47,False,True,True,,42,Books,6,5,1,619.0,123.8,2024-07-08,2024-11-30,1,4,189.44,429.56,Sports,565.0,Dormant,True,False,True
61,Christopher,Stanley,christopher684@hotmail.com,-4922,,Medium_Value,Email,36-45,Premium,89.36,0.62,False,False,True,,0,Beauty,9,4,4,389.26,97.315,2024-12-10,2025-05-03,1,3,119.85,269.41,Home,411.0,Dormant,True,False,True
62,Daniel,Kent,daniel412@outlook.com,-6213,,High_Value,Direct,46-55,Medium,459.01,0.33,False,True,False,,38,Clothing,9,8,1,4378.77,547.34625,2024-08-29,2025-05-29,2,6,1458.72,2920.05,Electronics,385.0,Dormant,True,False,True
63,Christine,Bryant,christine635@hotmail.com,-2331,,Medium_Value,Push,26-35,Unknown,115.29,0.69,True,True,False,,11,Beauty,5,5,0,611.83,122.366,2024-07-27,2025-07-03,1,4,128.05,483.78,Books,350.0,Dormant,True,False,True
64,Lawrence,Hernandez,lawrencehernandez@outlook.com,-6540,,High_Value,Email,36-45,Premium,261.92,0.2,True,False,False,,8,Electronics,9,9,0,2219.68,246.63111111111112,2024-07-10,2025-06-26,0,9,0.0,2219.68,Sports,357.0,Dormant,True,False,True
65,Jessica,Stephenson,jessicastephenson@hotmail.com,-4096,,Medium_Value,Push,18-25,High,190.48,0.53,True,True,True,,13,Clothing,7,7,0,1554.27,222.03857142857143,2024-07-08,2025-03-15,4,3,1037.66,516.61,Clothing,460.0,Dormant,True,False,True
66,James,Rodriguez,james598@outlook.com,-6807,,High_Value,Direct,46-55,Unknown,466.47,0.32,False,False,False,,12,Sports,8,5,3,2759.68,551.936,2024-08-09,2025-06-20,1,4,639.93,2119.75,Beauty,363.0,Dormant,True,False,True
67,Olivia,Davis,oliviadavis@gmail.com,-9414,,New_Customer,Direct,Unknown,Premium,78.97,0.58,True,False,False,,22,Beauty,8,6,2,623.49,103.915,2024-09-30,2025-05-01,4,2,468.3,155.19,Beauty,413.0,Dormant,True,False,True
68,Karen,Cordova,karen.cordova@hotmail.com,-10817,,High_Value,Push,46-55,High,189.42,0.31,True,False,False,,27,Electronics,7,5,2,1124.21,224.842,2024-09-26,2025-01-19,1,4,289.76,834.45,Electronics,515.0,Dormant,True,True,True
69,Joseph,Chapman,joseph620@hotmail.com,-4426,,High_Value,Direct,36-45,High,370.97,0.31,True,False,True,,41,Electronics,5,5,0,1933.4,386.68,2024-09-30,2025-01-25,0,5,0.0,1933.4,Electronics,509.0,Dormant,True,False,True
70,Bradley,Wright,bradley.wright@outlook.com,-8049,,High_Value,Email,Unknown,Low,453.27,0.2,True,False,True,,7,Sports,8,6,2,3147.32,524.5533333333333,2024-09-25,2025-04-18,0,6,0.0,3147.32,Clothing,426.0,Dormant,True,True,True
71,Timothy,Kelly,timothy334@outlook.com,-5461,,Low_Value,SMS,55+,Unknown,40.08,0.64,True,False,True,,33,Home,7,4,3,209.58,52.395,2024-07-09,2025-01-02,1,3,67.71,141.87,Sports,532.0,Dormant,True,False,True
72,Daniel,Strickland,daniel104@gmail.com,-5174,,High_Value,Push,55+,Medium,421.85,0.36,True,False,True,,10,Books,6,5,1,1861.1,372.22,2024-11-26,2025-06-23,0,5,0.0,1861.1,Home,360.0,Dormant,True,True,True
73,Jamie,Ellis,jamieellis@hotmail.com,-10460,,High_Value,Email,46-55,Premium,246.17,0.37,False,True,True,,3,Books,8,7,1,1766.52,252.36,2024-10-21,2025-05-31,1,6,397.14,1369.38,Clothing,383.0,Dormant,True,False,True
74,Brandy,Davidson,brandy379@hotmail.com,-7081,,Medium_Value,Email,36-45,Premium,92.28,0.55,True,False,False,,20,Sports,5,4,1,406.24,101.56,2024-09-29,2025-06-06,1,3,101.99,304.25,Beauty,377.0,Dormant,True,False,True
75,Ronald,Mccullough,ronaldmccullough@hotmail.com,-2553,,New_Customer,SMS,26-35,Low,71.17,0.59,True,True,False,,25,Home,7,6,1,408.12,68.02,2024-07-08,2025-05-11,1,5,92.98,315.14,Beauty,403.0,Dormant,True,True,True
76,Kristina,Walker,kristinawalker@outlook.com,-8568,,Low_Value,Social,36-45,High,28.11,0.67,True,True,True,,26,Books,9,9,0,283.25,31.47222222222222,2024-08-05,2025-06-12,3,6,117.15,166.1,Sports,371.0,Dormant,True,False,True
77,Karina,Hayes,karina.hayes@outlook.com,-11222,,High_Value,Email,18-25,Unknown,357.56,0.3,True,False,True,,5,Clothing,6,4,2,1519.51,379.8775,2024-09-08,2025-05-21,0,4,0.0,1519.51,Beauty,393.0,Dormant,True,False,True
78,Brian,Aguilar,brian.aguilar@outlook.com,-8749,,High_Value,SMS,36-45,Premium,388.84,0.28,False,False,True,,24,Electronics,7,6,1,2405.38,400.89666666666665,2024-07-08,2025-07-29,0,6,0.0,2405.38,Sports,324.0,Dormant,True,False,True
79,Theresa,Curtis,theresacurtis@hotmail.com,-2202,,Low_Value,Direct,46-55,Medium,45.53,0.87,False,True,True,,36,Sports,6,5,1,220.09,44.018,2024-12-31,2025-05-27,1,4,53.49,166.6,Home,387.0,Dormant,True,False,True
80,Allen,Williams,allen.williams@hotmail.com,-3448,,High_Value,Direct,55+,High,446.58,0.23,True,True,False,,21,Beauty,2,2,0,1051.07,525.535,2025-02-12,2025-06-04,0,2,0.0,1051.07,Home,379.0,Dormant,True,False,True
81,Matthew,Murray,matthew.murray@hotmail.com,-6993,,Medium_Value,Push,46-55,Medium,131.72,0.68,True,True,False,,3,Sports,8,6,2,796.56,132.76,2024-09-12,2025-03-14,1,5,152.21,644.35,Books,461.0,Dormant,True,True,True
82,John,Ayala,john502@hotmail.com,-7478,,High_Value,Social,36-45,Premium,240.62,0.3,False,True,True,,32,Electronics,11,9,2,2729.74,303.30444444444447,2024-07-11,2025-06-24,4,5,1508.16,1221.58,Sports,359.0,Dormant,True,True,True
83,Edward,Boyd,edward734@hotmail.com,-2348,,New_Customer,Direct,18-25,Medium,30.82,0.57,True,True,True,,26,Books,3,3,0,91.97,30.656666666666666,2024-11-14,2025-03-21,0,3,0.0,91.97,Electronics,454.0,Dormant,True,False,True
84,Ryan,Ross,ryan770@gmail.com,-9798,,High_Value,Push,18-25,Premium,300.78,0.21,False,True,True,,46,Electronics,7,7,0,2143.65,306.23571428571427,2024-07-16,2025-04-20,0,7,0.0,2143.65,Electronics,424.0,Dormant,True,False,True
85,Lauren,Terry,laurenterry@gmail.com,-7585,,New_Customer,SMS,55+,High,75.04,0.61,False,False,False,,15,Books,5,4,1,330.92,82.73,2024-10-23,2025-04-05,1,3,87.36,243.56,Electronics,439.0,Dormant,True,False,True
86,Scott,Thomas,scott.thomas@yahoo.com,-4240,,Low_Value,Push,18-25,Low,66.62,0.87,False,False,True,,24,Electronics,11,10,1,775.96,77.596,2024-07-13,2025-05-25,3,7,300.82,475.14,Books,389.0,Dormant,True,False,True
87,Madison,Cox,madisoncox@gmail.com,-5373,,High_Value,Direct,46-55,Medium,283.36,0.28,True,False,False,,20,Home,6,5,1,1418.59,283.718,2024-12-03,2025-06-17,0,5,0.0,1418.59,Electronics,366.0,Dormant,True,False,True
88,Jerome,Ellis,jeromeellis@hotmail.com,-8879,,High_Value,Email,26-35,Low,338.19,0.3,False,True,True,,14,Beauty,5,3,2,1220.88,406.96,2024-09-30,2025-03-30,1,2,602.28,618.6,Home,445.0,Dormant,True,False,True
89,Miguel,Bell,miguelbell@yahoo.com,-6343,,Low_Value,Direct,26-35,Low,57.68,0.62,True,False,True,,32,Clothing,6,5,1,307.16,61.432,2024-07-05,2025-03-13,1,4,73.24,233.92,Electronics,462.0,Dormant,True,False,True
90,Daniel,Sanchez,daniel.sanchez@yahoo.com,-5274,,Medium_Value,Push,36-45,Premium,187.42,0.45,False,False,True,,41,Beauty,10,10,0,1987.15,198.715,2024-07-06,2025-06-28,1,9,268.08,1719.07,Beauty,355.0,Dormant,True,False,True
91,Amy,Fitzgerald,amy.fitzgerald@outlook.com,-6868,,New_Customer,Email,55+,Medium,52.04,0.72,False,False,True,,4,Home,5,5,0,333.56,66.712,2024-08-20,2025-05-28,3,2,205.91,127.65,Clothing,386.0,Dormant,True,True,True
92,Richard,Howard,richard.howard@gmail.com,-4539,,New_Customer,SMS,36-45,Medium,87.83,0.72,True,True,True,,25,Clothing,7,7,0,667.74,95.39142857142858,2024-07-11,2025-06-18,1,6,104.76,562.98,Books,365.0,Dormant,True,True,True
93,Michael,Torres,michaeltorres@yahoo.com,-3677,,New_Customer,SMS,18-25,Premium,133.47,0.72,True,False,True,,41,Books,4,4,0,454.45,113.6125,2024-07-19,2025-01-24,0,4,0.0,454.45,Electronics,510.0,Dormant,True,False,True
94,Dorothy,Graham,dorothy.graham@hotmail.com,-8416,,New_Customer,Social,46-55,Low,147.83,0.57,True,True,True,,43,Beauty,6,6,0,880.13,146.68833333333333,2024-07-21,2025-03-01,0,6,0.0,880.13,Clothing,474.0,Dormant,True,False,True
95,Kimberly,Elliott,kimberlyelliott@gmail.com,-10099,,Low_Value,Push,26-35,Medium,78.7,0.85,True,True,True,,25,Home,11,10,1,923.8,92.38,2024-07-20,2025-06-06,4,6,467.5,456.3,Clothing,377.0,Dormant,True,False,True
96,Kelly,Li,kellyli@gmail.com,-6186,,Medium_Value,Social,46-55,Premium,186.63,0.46,True,True,False,,5,Sports,12,12,0,2389.7,199.14166666666668,2024-07-07,2025-05-14,2,10,521.39,1868.31,Electronics,400.0,Dormant,True,False,True
97,Pamela,Smith,pamelasmith@gmail.com,-6824,,Medium_Value,Direct,18-25,Low,190.6,0.61,False,True,False,,30,Books,10,8,2,1649.02,206.1275,2024-08-28,2025-05-27,2,6,481.54,1167.48,Books,387.0,Dormant,True,True,True
98,Lori,Davis,loridavis@hotmail.com,-3790,,New_Customer,SMS,55+,High,104.89,0.71,True,False,False,,39,Clothing,5,5,0,605.54,121.108,2024-08-27,2025-04-24,1,4,175.15,430.39,Books,420.0,Dormant,True,False,True
99,Samuel,Meyer,samuel.meyer@outlook.com,-3045,,New_Customer,Social,18-25,Medium,141.91,0.52,False,False,True,,30,Beauty,4,3,1,448.01,149.33666666666667,2024-12-11,2025-02-17,0,3,0.0,448.01,Beauty,486.0,Dormant,True,True,True
100,Elaine,Bridges,elaine.bridges@hotmail.com,-9815,,Low_Value,Direct,26-35,Low,63.99,0.64,False,False,False,,1,Sports,6,6,0,457.99,76.33166666666666,2024-12-02,2025-06-13,3,3,291.33,166.66,Home,370.0,Dormant,True,False,True
101,Jonathan,Nelson,jonathannelson@outlook.com,-4238,,Medium_Value,SMS,26-35,Medium,135.72,0.69,False,False,False,,18,Sports,8,6,2,867.78,144.63,2024-07-11,2025-05-21,1,5,181.89,685.89,Beauty,393.0,Dormant,True,False,True
102,Alicia,Gallagher,aliciagallagher@gmail.com,-7293,,New_Customer,Social,36-45,Premium,68.67,0.71,False,True,False,,17,Home,10,8,2,609.18,76.1475,2024-07-25,2025-06-16,3,5,263.53,345.65,Beauty,367.0,Dormant,True,False,True
103,Jacob,Rivera,jacobrivera@yahoo.com,-7676,,Medium_Value,Direct,18-25,High,175.17,0.64,True,True,False,,19,Clothing,8,8,0,1561.77,195.22125,2024-10-09,2025-06-22,2,6,520.96,1040.81,Home,361.0,Dormant,True,False,True
104,Anna,Duffy,annaduffyhotmail.com,-4885,,Medium_Value,Push,18-25,High,131.18,0.68,True,True,True,,40,Home,10,9,1,1393.71,154.85666666666665,2024-07-28,2025-05-27,5,4,905.5,488.21,Sports,387.0,Dormant,True,False,True
105,Penny,Johnson,penny.johnson@outlook.com,-10034,,New_Customer,Direct,18-25,Medium,99.43,0.71,False,False,False,,4,Electronics,8,8,0,960.37,120.04625,2024-07-23,2025-06-30,5,3,669.46,290.91,Home,353.0,Dormant,True,False,True
