customer_id,first_name,last_name,email,phone_number,registration_date,customer_segment,preferred_channel,age_group,income_level,avg_order_value,promo_sensitivity,email_opt_in,sms_opt_in,push_opt_in,last_purchase_date,total_lifetime_orders,preferred_category
19,Fred,Hendricks,fred118@outlook.com,-3186,22:56.0,High_Value,Email,55+,Low,485.67,0.3,FALSE,TRUE,FALSE,18:33.4,8,Books
20,Ashley,King,ashley.king@outlook.com,-5375,25:16.1,Medium_Value,Push,18-25,,116.08,0.62,TRUE,TRUE,TRUE,14:42.0,1,Home
21,Mark,Terry,markterry@hotmail.com,-2883,08:22.1,High_Value,Email,55+,High,202.59,0.38,TRUE,FALSE,TRUE,17:39.8,26,Clothing
22,Amy,Silva,amy662@outlook.com,-3872,42:42.8,High_Value,SMS,26-35,Premium,276.19,0.32,FALSE,FALSE,FALSE,18:30.1,20,Beauty
23,Carmen,Jenkins,carmen962@hotmail.com,-10419,18:06.1,Low_Value,Social,46-55,Premium,51.06,0.76,FALSE,FALSE,FALSE,15:38.3,8,Electronics
24,Jeremy,Martinez,jeremymartinez@gmail.com,-6098,43:52.3,New_Customer,Email,18-25,,96.59,0.54,FALSE,TRUE,FALSE,,49,Sports
25,Justin,Ward,justin293@gmail.com,-3188,38:17.2,New_Customer,Direct,36-45,High,49.72,0.55,FALSE,FALSE,TRUE,13:49.7,26,Books
26,Megan,Harris,meganharris@yahoo.com,-10940,34:26.5,Low_Value,Push,18-25,High,26.96,0.65,TRUE,FALSE,TRUE,18:11.6,32,Beauty
27,Charles,Herman,charles.herman@yahoo.com,-7851,56:13.2,Medium_Value,SMS,,Low,75.91,0.46,TRUE,FALSE,FALSE,16:21.7,12,Home
28,Scott,Olsen,scott861@outlook.com,-4841,51:15.7,Low_Value,Email,36-45,Premium,56.46,0.7,FALSE,TRUE,FALSE,15:37.6,45,Electronics
29,Diane,Brown,dianebrown@yahoo.com,-8018,40:39.1,New_Customer,Push,55+,Low,96.11,0.75,FALSE,FALSE,FALSE,17:16.7,11,Home
30,Jennifer,Gallagher,jennifer915@yahoo.com,-9778,56:08.2,New_Customer,Email,36-45,Low,31,0.64,TRUE,TRUE,TRUE,18:37.7,19,Beauty
31,Nina,Williams,nina663@gmail.com,-10556,58:08.6,Medium_Value,Direct,18-25,Medium,157.63,0.63,TRUE,FALSE,FALSE,,34,Clothing
32,Carlos,Miller,carlos564@outlook.com,-4537,54:16.4,High_Value,Direct,46-55,Low,265.41,0.27,FALSE,TRUE,TRUE,15:21.6,46,Electronics
33,David,Johnson,david.johnson@yahoo.com,-3784,42:41.7,Medium_Value,Email,36-45,Medium,143.1,0.49,FALSE,TRUE,TRUE,17:22.7,20,Home
34,Cynthia,Lucas,cynthia.lucas@gmail.com,-8861,03:36.8,New_Customer,SMS,26-35,Medium,96.94,0.75,TRUE,TRUE,FALSE,13:01.1,20,Books
35,Suzanne,Reynolds,suzanne275@yahoo.com,-9796,55:07.8,Low_Value,SMS,55+,Premium,35.84,0.72,TRUE,TRUE,TRUE,13:31.7,12,Electronics
36,Charles,Holland,charles.holland@gmail.com,-5095,09:48.0,High_Value,Push,18-25,Premium,270.13,0.28,TRUE,FALSE,TRUE,18:35.9,9,Home
37,Kelly,Garcia,kellygarcia@yahoo.com,-9123,22:58.3,Medium_Value,Direct,36-45,Premium,189.18,0.51,TRUE,TRUE,FALSE,16:29.0,43,Electronics
38,Mary,Miller,mary307@hotmail.com,-9695,55:50.8,New_Customer,SMS,36-45,Low,81.32,0.77,FALSE,FALSE,TRUE,16:11.3,0,Clothing
39,Amanda,Nguyen,amandanguyen@yahoo.com,-6422,48:20.6,High_Value,Push,18-25,Low,371.07,0.26,FALSE,TRUE,TRUE,14:57.4,50,Beauty
40,Elizabeth,Thompson,elizabeth974@hotmail.com,-2992,00:30.2,High_Value,Direct,36-45,,455.07,0.21,TRUE,TRUE,TRUE,14:22.6,25,Electronics
41,James,Johnson,james795@yahoo.com,-7680,50:54.0,Medium_Value,Push,55+,Premium,85.81,0.7,FALSE,TRUE,FALSE,,12,Home
42,Paul,Parsons,paul65@yahoo.com,-7627,22:48.5,High_Value,Social,26-35,Medium,238.32,0.24,FALSE,FALSE,FALSE,14:15.0,9,Electronics
43,Ian,Arellano,ian497@hotmail.com,-9363,38:02.0,Medium_Value,Direct,26-35,Medium,193.97,0.48,TRUE,TRUE,TRUE,18:04.9,13,Beauty
44,Richard,Wiley,richard.wiley@hotmail.com,-7516,52:28.1,Low_Value,Direct,36-45,High,28.95,0.83,FALSE,FALSE,TRUE,,24,Home
45,Douglas,Collins,douglas.collins@hotmail.com,-8855,40:34.9,Medium_Value,Push,18-25,High,175.11,0.49,FALSE,FALSE,FALSE,17:16.6,42,Books
46,Debra,Fields,debrafields@yahoo.com,-7653,09:30.3,Low_Value,Social,26-35,High,41.13,0.86,FALSE,FALSE,TRUE,,37,Books
47,Jason,Butler,jason404@yahoo.com,-10940,01:15.8,New_Customer,Push,18-25,Medium,104,0.78,FALSE,FALSE,TRUE,16:51.8,29,Beauty
48,Roger,Mendoza,roger88@hotmail.com,-8573,25:09.5,Low_Value,Email,18-25,Premium,38.26,0.63,TRUE,TRUE,FALSE,14:16.1,28,Beauty
49,Michelle,Castillo,michelle986@yahoo.com,-6093,19:15.1,New_Customer,Social,26-35,Medium,40.7,0.57,TRUE,FALSE,TRUE,18:08.1,30,Sports
50,Tracy,Davis,tracy242@hotmail.com,-8476,21:43.9,Medium_Value,SMS,46-55,Medium,190.45,0.49,TRUE,FALSE,FALSE,17:48.8,7,Electronics
51,Elizabeth,Watson,elizabethwatson@gmail.com,-5454,10:49.8,Medium_Value,Direct,55+,Medium,146.4,0.68,FALSE,TRUE,TRUE,,32,Clothing
52,Hannah,Wilson,hannah.wilson@gmail.com,-3634,23:25.8,Low_Value,SMS,26-35,Medium,65.55,0.85,TRUE,FALSE,TRUE,18:04.1,15,Sports
53,Leslie,Martin,leslie.martin@outlook.com,-2266,25:16.6,New_Customer,Social,46-55,Medium,91.45,0.78,FALSE,TRUE,FALSE,18:01.5,16,Sports
54,Robert,Buck,robertbuck@gmail.com,-3513,47:53.1,Low_Value,Push,46-55,High,37.17,0.65,TRUE,FALSE,FALSE,18:18.1,0,Sports
55,Olivia,Watson,oliviawatson@outlook.com,-8602,19:10.6,New_Customer,SMS,36-45,High,53.74,0.69,TRUE,TRUE,FALSE,,33,Electronics
56,Shane,Black,shane.black@hotmail.com,-8113,38:19.9,Medium_Value,Direct,46-55,,194.82,0.63,TRUE,FALSE,TRUE,17:08.3,3,Sports
57,Amber,Carney,amber.carney@outlook.com,-8407,21:23.0,Medium_Value,Email,46-55,High,75.58,0.68,FALSE,FALSE,FALSE,,41,Electronics
58,Cody,Harris,cody.harris@gmail.com,-6812,23:59.3,New_Customer,Social,55+,High,44.49,0.76,FALSE,FALSE,FALSE,18:24.3,22,Electronics
59,Amber,Wilcox,amber380@gmail.com,-5729,35:32.3,New_Customer,Direct,26-35,Low,148.29,0.5,FALSE,TRUE,TRUE,,27,Clothing
60,Mary,Owens,mary463@outlook.com,-5311,22:34.0,Medium_Value,Email,46-55,High,116.53,0.47,FALSE,TRUE,TRUE,16:02.8,42,Books
61,Christopher,Stanley,christopher684@hotmail.com,-4922,35:14.6,Medium_Value,Email,36-45,Premium,89.36,0.62,FALSE,FALSE,TRUE,14:40.1,0,Beauty
62,Daniel,Kent,daniel412@outlook.com,-6213,38:17.3,High_Value,Direct,46-55,Medium,459.01,0.33,FALSE,TRUE,FALSE,12:45.2,38,Clothing
63,Christine,Bryant,christine635@hotmail.com,-2331,25:27.7,Medium_Value,Push,26-35,,115.29,0.69,TRUE,TRUE,FALSE,14:07.0,11,Beauty
64,Lawrence,Hernandez,lawrencehernandez@outlook.com,-6540,06:09.0,High_Value,Email,36-45,Premium,261.92,0.2,TRUE,FALSE,FALSE,18:34.3,8,Electronics
65,Jessica,Stephenson,jessicastephenson@hotmail.com,-4096,51:55.9,Medium_Value,Push,18-25,High,190.48,0.53,TRUE,TRUE,TRUE,13:20.2,13,Clothing
66,James,Rodriguez,james598@outlook.com,-6807,53:59.3,High_Value,Direct,46-55,,466.47,0.32,FALSE,FALSE,FALSE,16:42.1,12,Sports
67,Olivia,Davis,oliviadavis@gmail.com,-9414,42:35.7,New_Customer,Direct,,Premium,78.97,0.58,TRUE,FALSE,FALSE,14:08.0,22,Beauty
68,Karen,Cordova,karen.cordova@hotmail.com,-10817,24:01.8,High_Value,Push,46-55,High,189.42,0.31,TRUE,FALSE,FALSE,,27,Electronics
69,Joseph,Chapman,joseph620@hotmail.com,-4426,26:03.2,High_Value,Direct,36-45,High,370.97,0.31,TRUE,FALSE,TRUE,17:41.2,41,Electronics
70,Bradley,Wright,bradley.wright@outlook.com,-8049,19:25.2,High_Value,Email,,Low,453.27,0.2,TRUE,FALSE,TRUE,,7,Sports
71,Timothy,Kelly,timothy334@outlook.com,-5461,34:50.2,Low_Value,SMS,55+,,40.08,0.64,TRUE,FALSE,TRUE,13:06.8,33,Home
72,Daniel,Strickland,daniel104@gmail.com,-5174,02:01.3,High_Value,Push,55+,Medium,421.85,0.36,TRUE,FALSE,TRUE,,10,Books
73,Jamie,Ellis,jamieellis@hotmail.com,-10460,08:47.5,High_Value,Email,46-55,Premium,246.17,0.37,FALSE,TRUE,TRUE,17:47.4,3,Books
74,Brandy,Davidson,brandy379@hotmail.com,-7081,07:19.2,Medium_Value,Email,36-45,Premium,92.28,0.55,TRUE,FALSE,FALSE,16:50.4,20,Sports
75,Ronald,Mccullough,ronaldmccullough@hotmail.com,-2553,01:59.7,New_Customer,SMS,26-35,Low,71.17,0.59,TRUE,TRUE,FALSE,,25,Home
76,Kristina,Walker,kristinawalker@outlook.com,-8568,34:46.9,Low_Value,Social,36-45,High,28.11,0.67,TRUE,TRUE,TRUE,15:23.1,26,Books
77,Karina,Hayes,karina.hayes@outlook.com,-11222,57:04.7,High_Value,Email,18-25,,357.56,0.3,TRUE,FALSE,TRUE,17:20.7,5,Clothing
78,Brian,Aguilar,brian.aguilar@outlook.com,-8749,05:12.7,High_Value,SMS,36-45,Premium,388.84,0.28,FALSE,FALSE,TRUE,16:01.6,24,Electronics
79,Theresa,Curtis,theresacurtis@hotmail.com,-2202,16:36.1,Low_Value,Direct,46-55,Medium,45.53,0.87,FALSE,TRUE,TRUE,16:43.2,36,Sports
80,Allen,Williams,allen.williams@hotmail.com,-3448,28:46.2,High_Value,Direct,55+,High,446.58,0.23,TRUE,TRUE,FALSE,15:59.5,21,Beauty
81,Matthew,Murray,matthew.murray@hotmail.com,-6993,03:21.3,Medium_Value,Push,46-55,Medium,131.72,0.68,TRUE,TRUE,FALSE,,3,Sports
82,John,Ayala,john502@hotmail.com,-7478,01:03.4,High_Value,Social,36-45,Premium,240.62,0.3,FALSE,TRUE,TRUE,,32,Electronics
83,Edward,Boyd,edward734@hotmail.com,-2348,12:34.9,New_Customer,Direct,18-25,Medium,30.82,0.57,TRUE,TRUE,TRUE,14:35.2,26,Books
84,Ryan,Ross,ryan770@gmail.com,-9798,08:46.8,High_Value,Push,18-25,Premium,300.78,0.21,FALSE,TRUE,TRUE,16:28.0,46,Electronics
85,Lauren,Terry,laurenterry@gmail.com,-7585,35:54.6,New_Customer,SMS,55+,High,75.04,0.61,FALSE,FALSE,FALSE,18:21.4,15,Books
86,Scott,Thomas,scott.thomas@yahoo.com,-4240,47:08.5,Low_Value,Push,18-25,Low,66.62,0.87,FALSE,FALSE,TRUE,17:54.8,24,Electronics
87,Madison,Cox,madisoncox@gmail.com,-5373,37:35.4,High_Value,Direct,46-55,Medium,283.36,0.28,TRUE,FALSE,FALSE,14:30.8,20,Home
88,Jerome,Ellis,jeromeellis@hotmail.com,-8879,13:39.9,High_Value,Email,26-35,Low,338.19,0.3,FALSE,TRUE,TRUE,15:43.9,14,Beauty
89,Miguel,Bell,miguelbell@yahoo.com,-6343,33:55.5,Low_Value,Direct,26-35,Low,57.68,0.62,TRUE,FALSE,TRUE,14:48.9,32,Clothing
90,Daniel,Sanchez,daniel.sanchez@yahoo.com,-5274,19:21.1,Medium_Value,Push,36-45,Premium,187.42,0.45,FALSE,FALSE,TRUE,16:27.6,41,Beauty
91,Amy,Fitzgerald,amy.fitzgerald@outlook.com,-6868,18:07.2,New_Customer,Email,55+,Medium,52.04,0.72,FALSE,FALSE,TRUE,,4,Home
92,Richard,Howard,richard.howard@gmail.com,-4539,56:12.4,New_Customer,SMS,36-45,Medium,87.83,0.72,TRUE,TRUE,TRUE,,25,Clothing
93,Michael,Torres,michaeltorres@yahoo.com,-3677,37:04.4,New_Customer,SMS,18-25,Premium,133.47,0.72,TRUE,FALSE,TRUE,15:08.6,41,Books
94,Dorothy,Graham,dorothy.graham@hotmail.com,-8416,37:34.0,New_Customer,Social,46-55,Low,147.83,0.57,TRUE,TRUE,TRUE,17:58.8,43,Beauty
95,Kimberly,Elliott,kimberlyelliott@gmail.com,-10099,44:09.4,Low_Value,Push,26-35,Medium,78.7,0.85,TRUE,TRUE,TRUE,14:35.9,25,Home
96,Kelly,Li,kellyli@gmail.com,-6186,10:54.2,Medium_Value,Social,46-55,Premium,186.63,0.46,TRUE,TRUE,FALSE,13:09.8,5,Sports
97,Pamela,Smith,pamelasmith@gmail.com,-6824,04:03.9,Medium_Value,Direct,18-25,Low,190.6,0.61,FALSE,TRUE,FALSE,,30,Books
98,Lori,Davis,loridavis@hotmail.com,-3790,10:52.9,New_Customer,SMS,55+,High,104.89,0.71,TRUE,FALSE,FALSE,17:25.6,39,Clothing
99,Samuel,Meyer,samuel.meyer@outlook.com,-3045,54:42.3,New_Customer,Social,18-25,Medium,141.91,0.52,FALSE,FALSE,TRUE,,30,Beauty
100,Elaine,Bridges,elaine.bridges@hotmail.com,-9815,35:32.0,Low_Value,Direct,26-35,Low,63.99,0.64,FALSE,FALSE,FALSE,14:45.8,1,Sports
101,Jonathan,Nelson,jonathannelson@outlook.com,-4238,28:59.0,Medium_Value,SMS,26-35,Medium,135.72,0.69,FALSE,FALSE,FALSE,16:51.3,18,Sports
102,Alicia,Gallagher,aliciagallagher@gmail.com,-7293,37:37.0,New_Customer,Social,36-45,Premium,68.67,0.71,FALSE,TRUE,FALSE,14:36.3,17,Home
103,Jacob,Rivera,jacobrivera@yahoo.com,-7676,15:41.1,Medium_Value,Direct,18-25,High,175.17,0.64,TRUE,TRUE,FALSE,13:59.0,19,Clothing
104,Anna,Duffy,annaduffyhotmail.com,-4885,35:19.7,Medium_Value,Push,18-25,High,131.18,0.68,TRUE,TRUE,TRUE,16:24.9,40,Home
105,Penny,Johnson,penny.johnson@outlook.com,-10034,30:33.1,New_Customer,Direct,18-25,Medium,99.43,0.71,FALSE,FALSE,FALSE,14:52.2,4,Electronics
106,Anthony,Rose,anthonyroseyahoo.com,-10605,35:53.7,Medium_Value,Social,18-25,Premium,153.35,0.51,FALSE,FALSE,TRUE,17:25.0,41,Books
107,Kimberly,Wolf,kimberlywolf@gmail.com,-9846,20:18.9,High_Value,Email,36-45,Low,167.7,0.29,TRUE,FALSE,FALSE,,41,Clothing
108,Cynthia,Baker,cynthiabaker@hotmail.com,-3394,52:03.0,New_Customer,Direct,55+,,47.5,0.76,TRUE,TRUE,FALSE,,45,Sports
109,George,Sanchez,georgesanchez@yahoo.com,-3754,23:39.3,New_Customer,Direct,26-35,Medium,107.27,0.76,TRUE,FALSE,FALSE,15:39.2,49,Home
110,Mitchell,Brown,mitchell.brown@yahoo.com,-8632,34:17.8,New_Customer,SMS,55+,High,85.96,0.69,TRUE,TRUE,TRUE,16:28.8,6,Sports
111,Tracy,Howell,tracy.howell@outlook.com,-9681,50:04.2,Medium_Value,Email,55+,Medium,129.1,0.45,FALSE,TRUE,TRUE,,12,Books
112,Erica,Everett,erica381@outlook.com,-11195,27:38.0,High_Value,Email,18-25,Premium,165.99,0.36,TRUE,FALSE,TRUE,18:10.5,6,Electronics
113,Kathy,Richard,kathyrichard@gmail.com,-10471,55:55.2,Low_Value,Push,,High,94.78,0.75,FALSE,TRUE,TRUE,13:17.6,36,Clothing
114,Joshua,Hall,joshua.hall@yahoo.com,-6821,15:46.9,Low_Value,Push,46-55,Premium,51.85,0.76,FALSE,TRUE,FALSE,17:59.0,6,Books
115,Michael,Baker,michael276@gmail.com,-7116,19:32.8,Low_Value,Direct,18-25,High,34.45,0.73,TRUE,FALSE,FALSE,13:52.5,15,Sports
116,Cynthia,Porter,cynthia254@hotmail.com,-10911,13:03.3,Medium_Value,Push,55+,Premium,114.2,0.42,FALSE,TRUE,TRUE,17:24.1,26,Books
117,Carrie,Taylor,carrie508@yahoo.com,-7562,24:17.3,Medium_Value,Push,36-45,,114.4,0.64,TRUE,TRUE,FALSE,,49,Electronics
118,Michael,Anderson,michael.anderson@outlook.com,-10706,33:54.5,New_Customer,SMS,36-45,Premium,128.59,0.5,TRUE,TRUE,FALSE,,37,Home
119,Brian,Johnson,brian682@hotmail.com,-6149,11:41.3,Low_Value,Social,26-35,Low,53.14,0.63,TRUE,TRUE,TRUE,,4,Home
120,Brian,Bell,brian412@gmail.com,-7750,10:30.9,Medium_Value,SMS,36-45,Premium,171.16,0.66,FALSE,TRUE,FALSE,15:53.0,9,Home
121,Joseph,Tate,joseph.tate@yahoo.com,-4860,46:47.8,New_Customer,Direct,36-45,High,133.69,0.56,FALSE,FALSE,TRUE,16:42.8,21,Home
122,Jon,Tucker,jon197@yahoo.com,-5156,31:52.9,New_Customer,Email,55+,Medium,117.23,0.73,TRUE,TRUE,TRUE,,35,Home
123,James,Webster,james.webster@outlook.com,-9259,49:04.1,High_Value,Direct,36-45,Medium,174.51,0.27,FALSE,TRUE,TRUE,15:42.1,39,Clothing
124,Johnny,Taylor,johnnytaylor@yahoo.com,-5606,28:01.5,Low_Value,SMS,46-55,High,74.96,0.69,TRUE,FALSE,TRUE,16:43.2,27,Electronics
125,Brianna,Obrien,brianna858@hotmail.com,-7753,50:42.7,New_Customer,Direct,46-55,,99.99,0.74,TRUE,FALSE,FALSE,15:51.3,8,Books
126,Timothy,Haley,timothy.haley@gmail.com,-6390,21:49.2,New_Customer,SMS,36-45,Medium,149.19,0.68,TRUE,TRUE,TRUE,16:18.0,4,Beauty
127,Amber,Garcia,ambergarcia@hotmail.com,-5172,19:05.3,High_Value,Social,26-35,High,365.3,0.31,FALSE,FALSE,FALSE,,13,Home
128,Jake,White,jake388@yahoo.com,-5262,09:44.0,New_Customer,SMS,18-25,Medium,31.53,0.78,FALSE,TRUE,FALSE,12:57.2,4,Home
129,Scott,Mayo,scott561@outlook.com,-5087,52:57.8,Low_Value,Email,36-45,,35.51,0.65,TRUE,TRUE,TRUE,14:15.0,14,Clothing
130,Aaron,Turner,aaron569@yahoo.com,-8280,13:05.1,High_Value,Social,18-25,,206.22,0.22,TRUE,TRUE,TRUE,13:56.0,37,Home
131,Ronald,Briggs,ronald.briggs@outlook.com,-6695,16:13.1,Low_Value,SMS,18-25,Premium,80.15,0.89,FALSE,FALSE,FALSE,16:31.6,23,Sports
132,Monica,Aguilar,monica322@gmail.com,-9580,42:37.1,New_Customer,Social,26-35,Low,70.34,0.61,TRUE,FALSE,FALSE,15:44.5,0,Books
133,Diana,Sanders,dianasanders@hotmail.com,-8962,50:01.7,Low_Value,Direct,46-55,Premium,51.02,0.89,FALSE,TRUE,FALSE,,40,Books
134,Heather,Hart,heatherhart@hotmail.com,-9061,53:02.3,New_Customer,Direct,18-25,High,129.89,0.54,TRUE,FALSE,FALSE,14:36.1,19,Books
135,Elizabeth,Bartlett,elizabeth577@yahoo.com,-8802,10:02.1,High_Value,Push,55+,High,484.49,0.22,FALSE,FALSE,FALSE,,43,Electronics
136,Steven,Price,stevenprice@outlook.com,-9195,29:44.2,Low_Value,Social,,High,56.89,0.89,TRUE,TRUE,FALSE,16:12.8,24,Clothing
137,Madison,Cox,madison.cox@outlook.com,-11732,48:05.4,Low_Value,Social,26-35,High,83.05,0.88,TRUE,TRUE,TRUE,16:04.0,42,Clothing
138,Robin,Reese,robinreese@gmail.com,-1942,28:20.1,New_Customer,SMS,46-55,Premium,60.76,0.55,TRUE,FALSE,FALSE,18:00.8,31,Books
139,Regina,Davis,regina.davis@hotmail.com,-2990,13:08.9,New_Customer,Email,18-25,High,38.4,0.66,FALSE,TRUE,FALSE,13:21.0,32,Home
140,Diane,Hopkins,diane.hopkins@gmail.com,-10928,22:50.4,High_Value,Push,26-35,Low,258.34,0.23,TRUE,TRUE,TRUE,16:26.9,20,Beauty
141,Pamela,Singh,pamela452@hotmail.com,-7229,40:56.4,New_Customer,SMS,46-55,Medium,124.73,0.53,FALSE,FALSE,FALSE,17:42.6,1,Books
142,Matthew,Harper,matthew.harper@hotmail.com,-2712,39:34.0,New_Customer,SMS,46-55,Premium,115.15,0.75,TRUE,TRUE,FALSE,18:11.1,38,Electronics
143,Kristen,Horton,kristen168@outlook.com,-4600,03:20.1,New_Customer,SMS,46-55,Premium,144.15,0.52,TRUE,FALSE,FALSE,18:22.4,22,Sports
144,Sheena,Hicks,sheenahicks@gmail.com,-10232,21:00.9,Medium_Value,Push,46-55,Medium,160.3,0.67,TRUE,TRUE,FALSE,14:12.7,17,Sports
145,Zachary,Clark,zachary.clark@gmail.com,-2606,35:49.4,New_Customer,Direct,55+,Medium,131.56,0.59,TRUE,TRUE,FALSE,13:40.8,25,Clothing
146,Susan,Lam,susanlam@outlook.com,-6942,36:36.8,High_Value,Email,26-35,Premium,344.2,0.33,FALSE,TRUE,TRUE,13:22.6,20,Electronics
147,Deborah,Wallace,deborahwallace@yahoo.com,-3390,50:00.1,High_Value,Push,26-35,High,155.71,0.36,TRUE,TRUE,FALSE,16:28.3,20,Clothing
148,Lisa,Morgan,lisamorgan@hotmail.com,-7985,29:21.7,Medium_Value,Social,36-45,High,109.46,0.5,FALSE,TRUE,TRUE,,6,Clothing
149,Darlene,Norris,darlenenorris@hotmail.com,-9997,28:49.1,Medium_Value,Direct,26-35,Medium,142.12,0.49,TRUE,FALSE,TRUE,18:00.6,5,Sports
150,Brianna,Warren,brianna346@gmail.com,-11070,13:45.2,New_Customer,Direct,18-25,Premium,33.82,0.64,TRUE,FALSE,TRUE,,0,Clothing
151,Cynthia,Padilla,cynthia.padilla@hotmail.com,-7365,43:04.4,Low_Value,SMS,26-35,Premium,65.56,0.75,TRUE,FALSE,FALSE,12:53.8,0,Beauty
152,Brandon,Crawford,brandon72@outlook.com,-4824,43:26.8,High_Value,SMS,26-35,Medium,229.93,0.36,TRUE,TRUE,TRUE,13:59.1,0,Sports
153,Sharon,Beasley,sharonbeasley@outlook.com,-6771,25:52.3,New_Customer,Social,36-45,Medium,88.79,0.66,FALSE,TRUE,TRUE,14:40.8,7,Electronics
154,Kelly,Bass,kellybass@hotmail.com,-10315,30:06.6,New_Customer,Social,46-55,Low,40.94,0.62,FALSE,FALSE,TRUE,17:00.8,48,Electronics
155,Morgan,Mason,morgan.mason@yahoo.com,-8098,32:11.1,Medium_Value,Direct,18-25,,124.79,0.53,TRUE,FALSE,FALSE,14:33.1,25,Electronics
156,Laura,Collins,laura.collins@hotmail.com,-9779,54:32.7,Medium_Value,Email,55+,Medium,188.53,0.5,TRUE,TRUE,FALSE,14:13.8,45,Sports
157,Tim,Peck,timpeck@outlook.com,-4819,16:38.8,New_Customer,SMS,46-55,High,41.88,0.54,FALSE,FALSE,FALSE,13:47.9,31,Home
158,Zachary,Calhoun,zacharycalhoun@gmail.com,-5787,19:19.6,New_Customer,SMS,36-45,Medium,89.13,0.63,FALSE,TRUE,FALSE,,11,Electronics
159,Valerie,Johnson,valerie336@outlook.com,-5257,50:17.3,High_Value,Email,55+,High,264.66,0.32,TRUE,TRUE,TRUE,,23,Books
160,Kathleen,Walker,kathleen611@outlook.com,-4048,11:57.9,Low_Value,Social,36-45,Premium,98.63,0.68,TRUE,FALSE,TRUE,17:34.5,24,Home
161,Melissa,Haynes,melissa.haynes@gmail.com,-8870,31:38.0,Medium_Value,Direct,46-55,Medium,152.06,0.64,TRUE,FALSE,FALSE,17:04.1,19,Sports
162,Ronald,Ochoa,ronaldochoa@hotmail.com,-5421,37:48.7,High_Value,Email,26-35,Low,332.81,0.22,TRUE,TRUE,TRUE,,39,Sports
163,Cathy,Foster,cathy768@outlook.com,-6321,40:24.6,High_Value,Push,18-25,Medium,452.68,0.35,TRUE,FALSE,TRUE,16:02.9,47,Sports
